date,post_title,submissions
07/03/18 19:00,Match Thread: Colombia vs England [2018 FIFA World Cup],23462
07/03/18 20:00,Match Thread: Colombia vs England [2018 FIFA World Cup],20128
07/15/18 16:00,Match Thread: France vs Croatia [World Cup Final],19605
07/15/18 15:00,Match Thread: France vs Croatia [World Cup Final],18548
07/11/18 20:00,Match Thread: England V Croatia. [FIFA World Cup - Semi Final],16138
07/02/18 19:00,Match Thread: Belgium vs Japan [World Cup - Round of 16],14421
07/11/18 19:00,Match Thread: England V Croatia. [FIFA World Cup - Semi Final],14284
06/30/18 15:00,Match Thread: France vs Argentina [FIFA World Cup - Round of 16],13934
07/06/18 19:00,Match Thread: Brazil vs Belgium [FIFA World Cup - Quarter-finals],13362
06/21/18 19:00,Match Thread: Argentina vs Croatia [World Cup Group D],13342
06/27/18 15:00,Match Thread: 대한민국 (South Korea) vs Bundesrepublik Deutschland (Germany) [World Cup - Group F],11746
07/02/18 15:00,Match Thread: Brazil vs Mexico [FIFA World Cup: Round of 16],11743
07/10/18 19:00,Match Thread: France vs Belgium [World Cup Semi-Final!],11191
07/07/18 20:00,Match Thread: Russia vs. Croatia [2018 FIFA World Cup - Quarterfinals],10955
07/01/18 16:00,Match Thread: Spain vs Russia [2018 FIFA World Cup - Round of 16],10497
06/23/18 19:00,Match Thread: Germany vs Sweden [Group F],10486
07/03/18 18:00,Match Thread: Colombia vs England [2018 FIFA World Cup],10461
07/11/18 18:00,Match Thread: England V Croatia. [FIFA World Cup - Semi Final],10442
07/06/18 18:00,Match Thread: Brazil vs Belgium [FIFA World Cup - Quarter-finals],10303
06/16/18 11:00,Match Thread: France vs Australia [World Cup - Group C],10141
07/01/18 20:00,Match Thread: Croatia vs Denmark [2018 World Cup Round of 16],10004
06/30/18 14:00,Match Thread: France vs Argentina [FIFA World Cup - Round of 16],9882
07/07/18 15:00,Match Thread: Sweden vs England [2018 World Cup Quarterfinal],9406
06/24/18 12:00,Match Thread: England vs. the Republic of Panamá [World Cup - Group G],9382
06/23/18 18:00,Match Thread: Germany vs Sweden [Group F],9326
06/22/18 13:00,Match Thread: Brazil vs Costa Rica [World Cup],9132
06/17/18 16:00,Match Thread: Germany vs Mexico [2018 FIFA World Cup],8817
